anilhas,pesos
2,1168
3,1275
4,1575
5,1871
7,1520
8,1456
10,1573
11,1690
13,2633
14,1443
16,1766
18,1515
19,1280
20,2175
21,2126
23,1680
24,1172
26,1504
27,1780
28,1268
30,1179
32,1733
33,1603
34,1642
35,1401
36,1935
37,1611
38,1870
40,1477
41,1229
42,1428
44,1530
46,1509
47,1226
48,1744
49,1420
50,1390
51,1226
52,1531
53,1713
54,1813
55,1650
56,1296
57,1700
59,1925
60,1930
65,1994
66,2496
67,1530
70,1644
71,1960
74,1927
75,2051
77,1836
78,1510
79,1193
80,1812
81,1443
83,1863
84,1867
85,1943
90,2146
91,1081
92,1453
93,1498
95,1730
96,1500
99,2128
100,1400
101,1533
102,1258
103,1595
104,1507
105,1751
106,1396
107,1656
109,1279
110,1451
111,1486
112,1209
113,1799
114,1421
116,1538
117,1120
118,1901
119,1390
120,1834
121,1571
122,1340
123,1793
124,1700
125,1836
126,1542
127,1560
128,1728
129,1403
130,1883
131,1649
132,1290
133,886
134,2050
135,1497
136,1559
137,1474
138,1060
139,1511
140,1042
141,1565
142,1867
143,1276
144,1857
145,1358
146,1470
147,1525
148,1479
149,1413
150,1167
151,1790
152,1810
153,1914
154,1555
155,1861
156,1500
157,1721
158,1003
160,1160
161,1445
162,1546
163,1440
164,1941
165,1144
166,1505
167,1585
168,1460
169,1928
170,1841
171,2215
172,1442
173,1418
175,1880
176,1764
177,1280
178,1920
179,1627
180,1604
181,1245
182,2185
183,1430
184,1464
185,1925
186,1805
187,1343
188,2095
189,1420
190,1400
191,1482
192,1560
193,1742
194,1977
195,1562
196,1635
197,1230
198,1045
199,1495
200,1492
